ID,Event Name,Category,Sub-Category,Hook Line,Location,Address,Longitude and Latitude,Town,Distance (mi),Schedule,Time,Recurrence,Season,Est. Cost,Effort,Target Audience,User Tips,Verification Method,Verification Difficulty,XP Value,Badge Eligibility,Crew Formation,Is Anchor,Is Hidden Gem,Priority (1-5),Source,Audit_Confidence
1,Cranberry Lake 50 Backpacking Loop,Anchor,Wilderness Backpacking,Multi-day wilderness challenge that builds identity and story.,"Cranberry Lake, Adirondacks",Cranberry Lake 50 Trailhead,"44.19661528761782, -74.87251709305421",Potsdam Area,35,Summer–Early Fall (2–4 days),Multi-day (2-4 days),One-time,Summer,$,High,"Experienced hikers, adventure seekers",This is the North Country's AT. 3-4 days minimum. Register at the trailhead. Life-changing.,GPS track / campsite proof,Automated,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,5,Early_Database,HIGH
2,Higley Mountain Summit Hike,Anchor,Summit Hike,Physical effort rewarded with perspective.,"Higley Mountain Trail, South Colton","Off NY-56, South Colton, NY 13687",43.656012 -74.832907,Colton,15,Any clear day,3-4 hours,One-time,Year-round,$,High,"Hikers, nature lovers",The reward-to-effort ratio is excellent. Bring lunch for the summit. The fire tower is sometimes locked.,Summit photo,Easy,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,5,Early_Database,MEDIUM
3,Whiteface Mountain Sunrise Hike,Anchor,Dawn Adventure,"Starts a day with effort, silence, and earned beauty. Creates a shared story.","Whiteface Mountain, Wilmington","Goodman Mountain Rd, Tupper Lake, NY 12986",,Wilmington,85,Any clear morning,5:00am - 9:00am,Seasonal,Year-round,$,High,"Early risers, contemplative types",Wake up hurts. The sunrise heals. The coffee at the summit is the best you'll ever have.,Photo at summit + trailhead GPS,Automated,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,5,Expanded_Database,MEDIUM
,Connery Pond/Whiteface Landing Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Goodman Mountain Sunrise Hike,Anchor,Dawn Adventure,"Starts a day with effort, silence, and earned beauty. Creates a shared story.","Goodman Mountain Trailhead, Tupper Lake","Goodman Mountain Rd, Tupper Lake, NY 12986",,Tupper Lake,45,Any clear morning,5:00am - 9:00am,Seasonal,Year-round,$,High,"Early risers, contemplative types",Wake up hurts. The sunrise heals. The coffee at the summit is the best you'll ever have.,Photo at summit + trailhead GPS,Automated,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,5,Expanded_Database,MEDIUM
5,First Winter Summit: Mt. Arab,Anchor,DIY Winter Project,"Collective labor turns winter into something you shape, not endure.","Mt. Arab Trailhead, Piercefield","Village of Potsdam, NY 13676",,Piercefield,35,First deep freeze,Weekend project,Seasonal,Year-round,$,High,"DIYers, friend groups, families","The guide online works. Liner, boards, hose, patience. Neighbors will want in.",Group photo + location check-in,Easy,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,5,Expanded_Database,MEDIUM
6,First Winter Summit: Azure Mountain,Anchor,DIY Winter Project,"Collective labor turns winter into something you shape, not endure.","Azure Mountain Trailhead, Blue Mountain","Village of Potsdam, NY 13676",,Blue Mountain,60,First deep freeze,Weekend project,Seasonal,Year-round,$,High,"DIYers, friend groups, families","The guide online works. Liner, boards, hose, patience. Neighbors will want in.",Group photo + location check-in,Easy,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,5,Expanded_Database,MEDIUM
7,Lampson Falls Trail,Outdoor,Waterfall Hike,15 min hike to 100ft waterfall. Handicap accessible trail to top. Swimming at base.,Grass River Wild Forest,"County Rd 27, Clare, NY 13624",,Clare/DeGrasse,20,Daily,2-3 hours,One-time,Year-round,Free,High,"Hikers, families, waterfall lovers",Bring water shoes for crossing. The falls are most impressive after rain. Parking fills up on weekends—arrive before 10am.,ADK Laurentian,Easy,250,"Challenger, Explorer",Medium,TRUE,FALSE,5,Events_Master,HIGH
8,Azure Mountain Fire Tower,Outdoor,Fire Tower,"2mi RT, restored fire tower, 360° views of High Peaks. Steep but great for kids.",Azure Mountain,"Blue Mountain Rd, Piercefield, NY 12973",,St Regis Falls,30,Daily,3-4 hours,Seasonal,Year-round,Free,High,"Hikers seeking views, fire tower collectors","The tower is 35 steps up—worth it for 360° views. Trail is moderate but rocky near the top. Bring layers, it's windy up there.",ADK Laurentian,Easy,250,"Challenger, Explorer",Medium,TRUE,FALSE,5,Events_Master,HIGH
9,48-Hour Phone-Free Cabin Stay,Anchor,Digital Detox,Breaks dopamine loops and resets attention through presence.,Higley Flow State Park Cabins,"442 Cold Brook Dr, Colton, NY 13625",,Potsdam Area,30,Any weekend,48 hours,Seasonal,Year-round,$,Medium,"Digital detox seekers, introspective types","Tell people you'll be unreachable. Bring books, games, nothing digital. The anxiety fades by hour 6.",Cabin geofence + time stamp,Automated,200,Pathfinder,Medium,TRUE,FALSE,5,Expanded_Database,MEDIUM
10,Lake Swim Before Summer Ends,Anchor,Open Water Swimming,Cold shock + seasonal closure = memory marker.,Norwood Lake Beach,"Lake Rd, Norwood, NY 13668",,Norwood,5,Late August,11:00am - 5:00pm,Seasonal,Summer,$,Medium,"Open water swimmers, summer lovers",The last warm day feels urgent. Swim until you're cold. Summer doesn't end until you let it.,Water photo + GPS,Automated,200,Pathfinder,Medium,TRUE,FALSE,5,Expanded_Database,MEDIUM
11,Mount Arab Fire Tower,Outdoor,Fire Tower,"2mi RT. Easy climb, 360° views from cab. Friends of Mt. Arab maintain tower.",Mount Arab,"Eagle Crag Rd, Piercefield, NY 12973",,Piercefield,25,Daily,2-3 hours,One-time,Year-round,Free,High,"Hikers seeking views, fire tower collectors",Shorter than Azure but steeper. The observer's cabin at top is often open. Great for sunset but bring a headlamp for the descent.,ADK Laurentian,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,5,Events_Master,HIGH
12,Clarkson University Trails,Outdoor,Campus Trail,"1.7mi loop, beaver pond, osprey nest. Good for running/XC skiing.",Clarkson Campus,"Clarkson CAMP Building, 10 Clarkson Ave, Potsdam, NY 13699",,Potsdam,0,Daily,Dawn to dusk,One-time,Year-round,Free,High,"Students, campus walkers, joggers",The loop behind the gym connects to Munter. Less crowded early morning. Watch for ice in winter—trails aren't maintained.,Nature Up North,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,5,Events_Master,HIGH
13,Munter Trail,Outdoor,Campus Trail,"Packed sand trail, Maple St to Bayside Cemetery. Riverfront.",Raquette River,"Munter Trail, off NY-56, Potsdam, NY 13676",,Potsdam,0,Daily,Dawn to dusk,One-time,Year-round,Free,High,"Students, local walkers, runners",Perfect for a quick reset between classes. The covered bridge is a hidden photo spot. Trail can be muddy in spring.,Nature Up North,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,5,Events_Master,HIGH
14,Clarkson vs St. Lawrence Hockey Game,Anchor,Rivalry Game,Shared adrenaline and rivalry creates lasting memory.,"Cheel Arena, Clarkson University","8 Clarkson Ave, Potsdam, NY 13699",,Potsdam Area,0,Winter season,7:00pm - 10:00pm,Seasonal,Winter,$,Low,"Sports fans, students, rivalry enthusiasts",The energy is unmatched. Wear your colors. This is identity.,Ticket or arena photo,Easy,150,Pathfinder,High,TRUE,FALSE,5,Early_Database,HIGH
15,Maple Weekend Sugarbush Visit,Anchor,Local Tradition,Connects you to living local tradition.,"Southville Maples, Potsdam","3600 CR 35, Potsdam, NY 13676",,Potsdam Area,0,Late March weekends,10:00am - 4:00pm,One-time,Spring,$,Low,"Foodies, families, tradition seekers",The small operations are better than the big ones. Ask questions—they love talking maple.,Photo at sugarhouse,Easy,150,Pathfinder,High,TRUE,FALSE,5,Early_Database,HIGH
16,Potsdam Summerfest,Anchor,Town Festival,Town-wide joy beats isolated weekends.,Downtown Potsdam,"Market St, Potsdam, NY 13676",,Potsdam Area,0,July,12:00pm - 10:00pm,One-time,Summer,$,Low,"Everyone, families, community lovers",The parade is charming. The food vendors vary yearly. The fireworks are from the dam.,Festival photo,Easy,150,Pathfinder,High,TRUE,FALSE,5,Early_Database,HIGH
17,Wing Night at Madrid Hotel,Nightlife,Wing Night,Best wings in North Country per locals. Dive bar vibe.,Madrid Hotel,"1896 NY-345, Madrid, NY 13660",,Madrid,12,Wednesday,5:00pm - 10:00pm,Weekly,Year-round,$,Low,"Wing lovers, dive bar enthusiasts, locals",Cash only. The hot sauce is no joke. Go early—they run out. The dive bar vibe is the point.,Yelp Reviews,Easy,100,Participant,Medium,FALSE,FALSE,5,Events_Master,HIGH
18,Higley Flow State Park XC Skiing,Winter Activities,Cross-Country Skiing,"Groomed trails, gear rental available",Higley Flow SP,"442 Cold Brook Dr, Colton, NY 13625",,Colton,20,Daily,9:00am - 4:00pm,One-time,Year-round,Free+Rental,Medium,"Cross-country skiers, winter athletes",Trails are groomed after 4+ inches of snow. The warming hut has hot cocoa. Rental gear available at nearby shops.,Visit STLC,Easy,100,Explorer,Medium,FALSE,FALSE,5,Events_Master,HIGH
19,Nicandri Nature Center Snowshoeing,Winter Activities,Snowshoeing,"FREE snowshoe rentals, variety of trails, state-of-art nature center",Nicandri Nature Center,"71 Maple Ave, Massena, NY 13662",,Massena,25,Daily,10:00am - 3:00pm,One-time,Year-round,Free,Medium,"Snowshoers, families, beginners",Flat terrain perfect for beginners. They sometimes rent snowshoes. The pond loop is scenic but icy—stick to packed trails.,Visit STLC,Easy,100,Explorer,Medium,FALSE,FALSE,5,Events_Master,HIGH
20,Roxy Theater Movies,Arts & Culture,Movie Theater,"Local theater, college night specials, indie films",Roxy Theater,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,2-3 hours,Ongoing,Year-round,$,Medium,"Movie lovers, couples, families",The historic theater is the charm. Tickets are cheap. The popcorn is real butter.,Unigo,Easy,100,Culture Vulture,Medium,FALSE,FALSE,5,Events_Master,HIGH
21,1/2 Tons Bar & Grill,Nightlife,Sports Bar,"Wings, burgers. Popular college bar.",1/2 Tons,"141 Market St, Potsdam, NY 13676",,Potsdam,0,Daily,4:00pm - 12:00am,Ongoing,Year-round,$$,Low,"College crowd, sports watchers",Good for watching games. The burgers are solid. Gets loud on hockey nights.,Menu Guide,Easy,50,Participant,Medium,FALSE,FALSE,5,Events_Master,HIGH
22,Jernabi Coffeehouse,Food & Drink,Coffee Shop,"Local coffee shop, cozy atmosphere",Jernabi,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,7:00am - 6:00pm,Ongoing,Year-round,$,Low,"Coffee enthusiasts, remote workers, students",Best espresso in the North Country. The back room is quieter for work. They roast their own beans.,Visit STLC,Easy,50,Participant,Medium,FALSE,FALSE,5,Events_Master,HIGH
23,Park Bros Bagels,Food & Drink,Bagel Shop,"Quick breakfast, two locations",Park Bros,"103 Main St, Canton, NY 13617",,Canton/Potsdam,0,Daily,6:00am - 2:00pm,Ongoing,Year-round,$,Low,"Bagel lovers, breakfast crowd",Get there before 9 for full selection. The everything bagel with scallion cream cheese is the move. Cash preferred.,SUNY Potsdam,Easy,50,Participant,Medium,FALSE,FALSE,5,Events_Master,HIGH
24,Lampson Falls Traverse,Anchor,Waterfall Hike,Reconnecting with nature's scale through physical thresholds.,Lampson Falls (Clare),"County Rd 27, Clare, NY 13624",,Potsdam Area,0,Any weekend (Spring-Fall),3-5 hours,Seasonal,Spring,$,High,"Hikers, waterfall chasers, swimmers",The full traverse is 5+ miles. The swimming hole at the bottom is the reward. Bring everything.,,Medium,350,"Pathfinder, Challenger",Medium,TRUE,FALSE,4,More_Events,MEDIUM
25,Build a Winter Fortress,Anchor,Snow Play,Transforming a hostile environment into a sanctuary.,Any public park/backyard,"Ives Park or local yards, Potsdam, NY 13676",,Potsdam Area,0,After heavy snowfall,2-4 hours,Seasonal,Winter,$,High,"Kids at heart, friend groups, families","After the big snow, before it melts. Spray water to ice the walls. Hot chocolate mandatory.",,Medium,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,4,More_Events,FLAG
26,46er Journey: First Peak,Anchor,Peak Bagging,A long-term physical challenge tied to regional identity.,Cascade/Porter Peaks,"Cascade Rd, Lake Placid, NY 12946",,Potsdam Area,0,Summer/Fall,Full day (6-10 hours),Seasonal,Summer,$,High,"Aspiring peak baggers, serious hikers",Cascade or Marcy? Start with Cascade. This is the beginning of something.,,Medium,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,4,More_Events,MEDIUM
27,Titus Mountain Run,Anchor,Trail Running,Physical mastery and speed in the North Country winter.,"Malone, NY","215 Johnson Rd, Malone, NY 12953",,Potsdam Area,0,Winter,Race start time varies,Seasonal,Winter,$,High,"Trail runners, fitness enthusiasts",Register early. The vertical gain is real. The beer at the bottom is earned.,,Medium,300,"Pathfinder, Challenger",Medium,TRUE,FALSE,4,More_Events,MEDIUM
